Anzahl Random;Number of Records;Treibstoff (group);Jahr;Latitude;Longitude;Farbe;Marke;Mf Marke Id;Modell;Treibstoff;Point;Wohnviertel Id (Wohnviertel Centroide.Sas7Bdat);Wohnviertel Id;Wohnviertel
208;1;Benzin;2015;47,543388166;7,592303753;Blau;Opel;128;Corsa;MÑnnlich;0;6;6;Gundeldingen
155;1;Benzin;2015;47,543388166;7,592303753;Blau;Peugeot;170;206;Weiblich;0;6;6;Gundeldingen
118;1;Benzin;2015;47,543388166;7,592303753;Blau;Saab;32;9;Weiblich;0;6;6;Gundeldingen
104;1;Benzin;2015;47,543388166;7,592303753;Blau;Toyota;117;Corolla;MÑnnlich;0;6;6;Gundeldingen
123;1;Benzin;2015;47,543388166;7,592303753;Blau;Toyota;117;Yaris;MÑnnlich;0;6;6;Gundeldingen
376;1;Benzin;2015;47,543388166;7,592303753;Blau;VW;90;Golf;MÑnnlich;0;6;6;Gundeldingen
132;1;Benzin;2015;47,543388166;7,592303753;Blau;VW;90;Passat;MÑnnlich;0;6;6;Gundeldingen
251;1;Benzin;2015;47,543388166;7,592303753;Blau;VW;90;Polo;Weiblich;0;6;6;Gundeldingen
105;1;Benzin;2015;47,530785042;7,598108053;Blau;Fiat;125;500;MÑnnlich;0;7;7;Bruderholz
100;1;Benzin;2015;47,530785042;7,598108053;Blau;Opel;128;Corsa;Weiblich;0;7;7;Bruderholz
132;1;Benzin;2015;47,530785042;7,598108053;Blau;Opel;128;Zafira;Weiblich;0;7;7;Bruderholz
401;1;Benzin;2015;47,530785042;7,598108053;Blau;VW;90;Golf;Weiblich;0;7;7;Bruderholz
111;1;Benzin;2015;47,530785042;7,598108053;Blau;VW;90;Polo;Weiblich;0;7;7;Bruderholz
132;1;Benzin;2015;47,548247527;7,571521997;Blau;Fiat;125;500;Weiblich;0;8;8;Bachletten
106;1;Benzin;2015;47,548247527;7,571521997;Blau;Fiat;125;Punto;Weiblich;0;8;8;Bachletten
200;1;Benzin;2015;47,548247527;7,571521997;Blau;Honda;7;Jazz;MÑnnlich;0;8;8;Bachletten
150;1;Benzin;2015;47,548247527;7,571521997;Blau;Opel;128;Astra;Weiblich;0;8;8;Bachletten
140;1;Benzin;2015;47,548247527;7,571521997;Blau;Opel;128;Corsa;MÑnnlich;0;8;8;Bachletten
159;1;Benzin;2015;47,548247527;7,571521997;Blau;Opel;128;Zafira;Weiblich;0;8;8;Bachletten
118;1;Benzin;2015;47,548247527;7,571521997;Blau;Peugeot;170;206;MÑnnlich;0;8;8;Bachletten
133;1;Benzin;2015;47,548247527;7,571521997;Blau;Toyota;117;Avensis;Weiblich;0;8;8;Bachletten
113;1;Benzin;2015;47,548247527;7,571521997;Blau;Toyota;117;Corolla;Weiblich;0;8;8;Bachletten
472;1;Benzin;2015;47,548247527;7,571521997;Blau;VW;90;Golf;Weiblich;0;8;8;Bachletten
117;1;Benzin;2015;47,548247527;7,571521997;Blau;VW;90;Passat;Weiblich;0;8;8;Bachletten
173;1;Benzin;2015;47,548247527;7,571521997;Blau;VW;90;Polo;Weiblich;0;8;8;Bachletten
106;1;Benzin;2015;47,555275061;7,569826841;Blau;Honda;7;Jazz;Weiblich;0;9;9;Gotthelf
115;1;Benzin;2015;47,555275061;7,569826841;Blau;Opel;128;Corsa;MÑnnlich;0;9;9;Gotthelf
177;1;Benzin;2015;47,555275061;7,569826841;Blau;VW;90;Polo;Weiblich;0;9;9;Gotthelf
108;1;Benzin;2015;47,560904373;7,565889359;Blau;Audi;1;A4;Weiblich;0;10;10;Iselin
107;1;Benzin;2015;47,560904373;7,565889359;Blau;Audi;1;A6;MÑnnlich;0;10;10;Iselin
133;1;Benzin;2015;47,560904373;7,565889359;Blau;Fiat;125;Punto;Weiblich;0;10;10;Iselin
151;1;Benzin;2015;47,560904373;7,565889359;Blau;Ford;165;Fiesta;MÑnnlich;0;10;10;Iselin
101;1;Benzin;2015;47,560904373;7,565889359;Blau;Honda;7;Jazz;Weiblich;0;10;10;Iselin
128;1;Benzin;2015;47,560904373;7,565889359;Blau;Mitsubishi;64;Colt;MÑnnlich;0;10;10;Iselin
350;1;Benzin;2015;47,560904373;7,565889359;Blau;Opel;128;Astra;MÑnnlich;0;10;10;Iselin
147;1;Benzin;2015;47,560904373;7,565889359;Blau;Opel;128;Corsa;MÑnnlich;0;10;10;Iselin
122;1;Benzin;2015;47,560904373;7,565889359;Blau;Opel;128;Meriva;MÑnnlich;0;10;10;Iselin
154;1;Benzin;2015;47,560904373;7,565889359;Blau;Opel;128;Zafira;Weiblich;0;10;10;Iselin
116;1;Benzin;2015;47,560904373;7,565889359;Blau;Peugeot;170;206;Weiblich;0;10;10;Iselin
158;1;Benzin;2015;47,560904373;7,565889359;Blau;Renault;42;Clio;MÑnnlich;0;10;10;Iselin
105;1;Benzin;2015;47,560904373;7,565889359;Blau;Toyota;117;Corolla;MÑnnlich;0;10;10;Iselin
407;1;Benzin;2015;47,560904373;7,565889359;Blau;VW;90;Golf;Weiblich;0;10;10;Iselin
138;1;Benzin;2015;47,560904373;7,565889359;Blau;VW;90;Polo;Weiblich;0;10;10;Iselin
158;1;Benzin;2015;47,572168422;7,572809458;Blau;Fiat;125;Punto;MÑnnlich;0;11;11;St. Johann
145;1;Benzin;2015;47,572168422;7,572809458;Blau;Ford;165;Focus;Weiblich;0;11;11;St. Johann
133;1;Benzin;2015;47,572168422;7,572809458;Blau;Mercedes-Benz;5;C;MÑnnlich;0;11;11;St. Johann
264;1;Benzin;2015;47,572168422;7,572809458;Blau;Opel;128;Astra;Weiblich;0;11;11;St. Johann
253;1;Benzin;2015;47,572168422;7,572809458;Blau;Opel;128;Corsa;MÑnnlich;0;11;11;St. Johann
121;1;Benzin;2015;47,572168422;7,572809458;Blau;Renault;42;MÇgane;MÑnnlich;0;11;11;St. Johann
114;1;Benzin;2015;47,572168422;7,572809458;Blau;Saab;32;9;Weiblich;0;11;11;St. Johann
266;1;Benzin;2015;47,572168422;7,572809458;Blau;VW;90;Golf;Weiblich;0;11;11;St. Johann
151;1;Benzin;2015;47,572168422;7,572809458;Blau;VW;90;Passat;Weiblich;0;11;11;St. Johann
148;1;Benzin;2015;47,572168422;7,572809458;Blau;VW;90;Polo;MÑnnlich;0;11;11;St. Johann
115;1;Benzin;2015;47,563973994;7,596074939;Blau;Opel;128;Astra;Weiblich;0;13;13;Clara
120;1;Benzin;2015;47,563973994;7,596074939;Blau;VW;90;Golf;Weiblich;0;13;13;Clara
183;1;Benzin;2015;47,560607537;7,606111765;Blau;VW;90;Golf;MÑnnlich;0;14;14;Wettstein
185;1;Benzin;2015;47,573818735;7,617516518;Blau;Opel;128;Astra;MÑnnlich;0;15;15;Hirzbrunnen
159;1;Benzin;2015;47,573818735;7,617516518;Blau;Opel;128;Corsa;MÑnnlich;0;15;15;Hirzbrunnen
167;1;Benzin;2015;47,573818735;7,617516518;Blau;Opel;128;Zafira;Weiblich;0;15;15;Hirzbrunnen
115;1;Benzin;2015;47,573818735;7,617516518;Blau;Renault;42;Twingo;Weiblich;0;15;15;Hirzbrunnen
368;1;Benzin;2015;47,573818735;7,617516518;Blau;VW;90;Golf;Weiblich;0;15;15;Hirzbrunnen
126;1;Benzin;2015;47,573818735;7,617516518;Blau;VW;90;Polo;Weiblich;0;15;15;Hirzbrunnen
217;1;Benzin;2015;47,566507744;7,604341507;Blau;VW;90;Golf;Weiblich;0;16;16;Rosental
194;1;Benzin;2015;47,567962785;7,590866089;Blau;Fiat;125;Punto;Weiblich;0;17;17;MatthÑus
154;1;Benzin;2015;47,567962785;7,590866089;Blau;Opel;128;Astra;MÑnnlich;0;17;17;MatthÑus
103;1;Benzin;2015;47,567962785;7,590866089;Blau;Opel;128;Corsa;MÑnnlich;0;17;17;MatthÑus
107;1;Benzin;2015;47,567962785;7,590866089;Blau;Opel;128;Vectra;Weiblich;0;17;17;MatthÑus
161;1;Benzin;2015;47,567962785;7,590866089;Blau;Opel;128;Zafira;Weiblich;0;17;17;MatthÑus
107;1;Benzin;2015;47,567962785;7,590866089;Blau;Renault;42;Clio;Weiblich;0;17;17;MatthÑus
103;1;Benzin;2015;47,567962785;7,590866089;Blau;Toyota;117;Yaris;MÑnnlich;0;17;17;MatthÑus
250;1;Benzin;2015;47,567962785;7,590866089;Blau;VW;90;Golf;MÑnnlich;0;17;17;MatthÑus
103;1;Benzin;2015;47,567962785;7,590866089;Blau;VW;90;Polo;Weiblich;0;17;17;MatthÑus
189;1;Benzin;2015;47,574325399;7,591981888;Blau;Opel;128;Astra;MÑnnlich;0;18;18;Klybeck
187;1;Benzin;2015;47,574325399;7,591981888;Blau;VW;90;Golf;Weiblich;0;18;18;Klybeck
108;1;Benzin;2015;47,583473469;7,597088814;Blau;VW;90;Golf;Weiblich;0;19;19;KleinhÅningen
186;1;Benzin;2015;47,575686131;7,650518417;Blau;Audi;1;A3;Weiblich;0;20;20;Riehen
158;1;Benzin;2015;47,575686131;7,650518417;Blau;Audi;1;A4;Weiblich;0;20;20;Riehen
119;1;Benzin;2015;47,575686131;7,650518417;Blau;Audi;1;A6;MÑnnlich;0;20;20;Riehen
108;1;Benzin;2015;47,575686131;7,650518417;Blau;BMW;81;Z3;MÑnnlich;0;20;20;Riehen
110;1;Benzin;2015;47,575686131;7,650518417;Blau;Citroân;116;C3;MÑnnlich;0;20;20;Riehen
141;1;Benzin;2015;47,575686131;7,650518417;Blau;Ford;165;Fiesta;Weiblich;0;20;20;Riehen
289;1;Benzin;2015;47,575686131;7,650518417;Blau;Ford;165;Focus;Weiblich;0;20;20;Riehen
176;1;Benzin;2015;47,575686131;7,650518417;Blau;Honda;7;Jazz;MÑnnlich;0;20;20;Riehen
125;1;Benzin;2015;47,575686131;7,650518417;Blau;Mercedes-Benz;5;A;Weiblich;0;20;20;Riehen
135;1;Benzin;2015;47,575686131;7,650518417;Blau;Mitsubishi;64;Colt;Weiblich;0;20;20;Riehen
407;1;Benzin;2015;47,575686131;7,650518417;Blau;Opel;128;Astra;MÑnnlich;0;20;20;Riehen
156;1;Benzin;2015;47,575686131;7,650518417;Blau;Opel;128;Corsa;MÑnnlich;0;20;20;Riehen
116;1;Benzin;2015;47,575686131;7,650518417;Blau;Opel;128;Meriva;Weiblich;0;20;20;Riehen
272;1;Benzin;2015;47,575686131;7,650518417;Blau;Opel;128;Zafira;Weiblich;0;20;20;Riehen
135;1;Benzin;2015;47,575686131;7,650518417;Blau;Peugeot;170;206;Weiblich;0;20;20;Riehen
207;1;Benzin;2015;47,575686131;7,650518417;Blau;Renault;42;Clio;MÑnnlich;0;20;20;Riehen
154;1;Benzin;2015;47,575686131;7,650518417;Blau;Renault;42;MÇgane;Weiblich;0;20;20;Riehen
141;1;Benzin;2015;47,575686131;7,650518417;Blau;Renault;42;Twingo;Weiblich;0;20;20;Riehen
157;1;Benzin;2015;47,575686131;7,650518417;Blau;Saab;32;9;MÑnnlich;0;20;20;Riehen
117;1;Benzin;2015;47,575686131;7,650518417;Blau;Skoda;134;Octavia;Weiblich;0;20;20;Riehen
103;1;Benzin;2015;47,575686131;7,650518417;Blau;Toyota;117;Corolla;Weiblich;0;20;20;Riehen
225;1;Benzin;2015;47,575686131;7,650518417;Blau;Toyota;117;Yaris;MÑnnlich;0;20;20;Riehen
811;1;Benzin;2015;47,575686131;7,650518417;Blau;VW;90;Golf;Weiblich;0;20;20;Riehen
120;1;Benzin;2015;47,575686131;7,650518417;Blau;VW;90;Passat;MÑnnlich;0;20;20;Riehen
271;1;Benzin;2015;47,575686131;7,650518417;Blau;VW;90;Polo;Weiblich;0;20;20;Riehen
234;1;Benzin;2015;47,575686131;7,650518417;Blau;Volvo;16;V70;Weiblich;0;20;20;Riehen
102;1;Benzin;2015;47,556104110;7,589728832;Dunkelblau;VW;90;Golf;Weiblich;0;1;1;Altstadt Grossbasel
164;1;Benzin;2015;47,555336607;7,578560114;Dunkelblau;VW;90;Golf;Weiblich;0;3;3;Am Ring
156;1;Benzin;2015;47,547740610;7,605414391;Dunkelblau;VW;90;Golf;MÑnnlich;0;5;5;St. Alban
116;1;Benzin;2015;47,543388166;7,592303753;Dunkelblau;Audi;1;A3;Weiblich;0;6;6;Gundeldingen
123;1;Benzin;2015;47,543388166;7,592303753;Dunkelblau;Ford;165;Fiesta;Weiblich;0;6;6;Gundeldingen
124;1;Benzin;2015;47,543388166;7,592303753;Dunkelblau;VW;90;Golf;Weiblich;0;6;6;Gundeldingen
103;1;Benzin;2015;47,530785042;7,598108053;Dunkelblau;VW;90;Golf;MÑnnlich;0;7;7;Bruderholz
149;1;Benzin;2015;47,560904373;7,565889359;Dunkelblau;VW;90;Golf;MÑnnlich;0;10;10;Iselin
106;1;Benzin;2015;47,573818735;7,617516518;Dunkelblau;VW;90;Golf;Weiblich;0;15;15;Hirzbrunnen
118;1;Benzin;2015;47,567962785;7,590866089;Dunkelblau;Audi;1;A4;Weiblich;0;17;17;MatthÑus
146;1;Benzin;2015;47,567962785;7,590866089;Dunkelblau;VW;90;Golf;MÑnnlich;0;17;17;MatthÑus
104;1;Benzin;2015;47,567962785;7,590866089;Dunkelblau;VW;90;Polo;MÑnnlich;0;17;17;MatthÑus
130;1;Benzin;2015;47,575686131;7,650518417;Dunkelblau;Audi;1;A4;Weiblich;0;20;20;Riehen
102;1;Benzin;2015;47,575686131;7,650518417;Dunkelblau;Opel;128;Astra;Weiblich;0;20;20;Riehen
205;1;Benzin;2015;47,575686131;7,650518417;Dunkelblau;VW;90;Golf;MÑnnlich;0;20;20;Riehen
106;1;Benzin;2015;47,575686131;7,650518417;Dunkelblau;VW;90;Touran;MÑnnlich;0;20;20;Riehen
136;1;Benzin;2015;47,545249405;7,661075592;Dunkelgrau;Skoda;134;Octavia;Weiblich;0;0;99;ausserkantonal
112;1;Benzin;2015;47,551734258;7,591713667;Dunkelgrau;Audi;1;A3;Weiblich;0;2;2;VorstÑdte
154;1;Benzin;2015;47,552034765;7,619726658;Dunkelgrau;Toyota;117;Yaris;MÑnnlich;0;4;4;Breite
132;1;Benzin;2015;47,547740610;7,605414391;Dunkelgrau;Skoda;134;Octavia;Weiblich;0;5;5;St. Alban
224;1;Benzin;2015;47,547740610;7,605414391;Dunkelgrau;VW;90;Golf;MÑnnlich;0;5;5;St. Alban
143;1;Benzin;2015;47,543388166;7,592303753;Dunkelgrau;Skoda;134;Octavia;Weiblich;0;6;6;Gundeldingen
115;1;Benzin;2015;47,543388166;7,592303753;Dunkelgrau;Toyota;117;Rav4;Weiblich;0;6;6;Gundeldingen
248;1;Benzin;2015;47,543388166;7,592303753;Dunkelgrau;VW;90;Golf;Weiblich;0;6;6;Gundeldingen
137;1;Benzin;2015;47,530785042;7,598108053;Dunkelgrau;VW;90;Golf;Weiblich;0;7;7;Bruderholz
154;1;Benzin;2015;47,548247527;7,571521997;Dunkelgrau;VW;90;Golf;MÑnnlich;0;8;8;Bachletten
101;1;Benzin;2015;47,548247527;7,571521997;Dunkelgrau;VW;90;Touran;MÑnnlich;0;8;8;Bachletten
123;1;Benzin;2015;47,560904373;7,565889359;Dunkelgrau;Audi;1;A3;Weiblich;0;10;10;Iselin
238;1;Benzin;2015;47,560904373;7,565889359;Dunkelgrau;VW;90;Golf;MÑnnlich;0;10;10;Iselin
162;1;Benzin;2015;47,572168422;7,572809458;Dunkelgrau;VW;90;Golf;Weiblich;0;11;11;St. Johann
129;1;Benzin;2015;47,573818735;7,617516518;Dunkelgrau;Opel;128;Astra;MÑnnlich;0;15;15;Hirzbrunnen
120;1;Benzin;2015;47,573818735;7,617516518;Dunkelgrau;Opel;128;Zafira;Weiblich;0;15;15;Hirzbrunnen
112;1;Benzin;2015;47,566507744;7,604341507;Dunkelgrau;VW;90;Polo;MÑnnlich;0;16;16;Rosental
121;1;Benzin;2015;47,575686131;7,650518417;Dunkelgrau;Audi;1;A3;MÑnnlich;0;20;20;Riehen
114;1;Benzin;2015;47,575686131;7,650518417;Dunkelgrau;Mercedes-Benz;5;A;Weiblich;0;20;20;Riehen
125;1;Benzin;2015;47,575686131;7,650518417;Dunkelgrau;Toyota;117;Corolla;MÑnnlich;0;20;20;Riehen
268;1;Benzin;2015;47,575686131;7,650518417;Dunkelgrau;VW;90;Golf;MÑnnlich;0;20;20;Riehen
194;1;Benzin;2015;47,575686131;7,650518417;Dunkelgrau;VW;90;Polo;MÑnnlich;0;20;20;Riehen
140;1;Benzin;2015;47,575686131;7,650518417;Dunkelgrau;VW;90;Touran;MÑnnlich;0;20;20;Riehen
134;1;Benzin;2015;47,567962785;7,590866089;Gelb;Opel;128;Astra;Weiblich;0;17;17;MatthÑus
106;1;Benzin;2015;47,545249405;7,661075592;Grau;Audi;1;A4;MÑnnlich;0;0;99;ausserkantonal
115;1;Benzin;2015;47,545249405;7,661075592;Grau;Audi;1;A6;MÑnnlich;0;0;99;ausserkantonal
106;1;Benzin;2015;47,545249405;7,661075592;Grau;Fiat;125;500;MÑnnlich;0;0;99;ausserkantonal
125;1;Benzin;2015;47,545249405;7,661075592;Grau;Ford;165;Focus;MÑnnlich;0;0;99;ausserkantonal
126;1;Benzin;2015;47,545249405;7,661075592;Grau;Mercedes-Benz;5;E;Weiblich;0;0;99;ausserkantonal
103;1;Benzin;2015;47,545249405;7,661075592;Grau;Opel;128;Astra;MÑnnlich;0;0;99;ausserkantonal
228;1;Benzin;2015;47,545249405;7,661075592;Grau;Skoda;134;Octavia;MÑnnlich;0;0;99;ausserkantonal
242;1;Benzin;2015;47,545249405;7,661075592;Grau;VW;90;Golf;MÑnnlich;0;0;99;ausserkantonal
197;1;Benzin;2015;47,556104110;7,589728832;Grau;Mercedes-Benz;5;C;Weiblich;0;1;1;Altstadt Grossbasel
101;1;Benzin;2015;47,556104110;7,589728832;Grau;Toyota;117;Yaris;Weiblich;0;1;1;Altstadt Grossbasel
156;1;Benzin;2015;47,556104110;7,589728832;Grau;VW;90;Golf;MÑnnlich;0;1;1;Altstadt Grossbasel
121;1;Benzin;2015;47,556104110;7,589728832;Grau;VW;90;Polo;MÑnnlich;0;1;1;Altstadt Grossbasel
110;1;Benzin;2015;47,551734258;7,591713667;Grau;BMW;81;X3;Weiblich;0;2;2;VorstÑdte
101;1;Benzin;2015;47,551734258;7,591713667;Grau;Fiat;125;Punto;MÑnnlich;0;2;2;VorstÑdte
153;1;Benzin;2015;47,551734258;7,591713667;Grau;Mercedes-Benz;5;A;MÑnnlich;0;2;2;VorstÑdte
176;1;Benzin;2015;47,551734258;7,591713667;Grau;Mercedes-Benz;5;B;Weiblich;0;2;2;VorstÑdte
103;1;Benzin;2015;47,551734258;7,591713667;Grau;Mercedes-Benz;5;C;MÑnnlich;0;2;2;VorstÑdte
100;1;Benzin;2015;47,551734258;7,591713667;Grau;Mercedes-Benz;5;Clk;MÑnnlich;0;2;2;VorstÑdte
120;1;Benzin;2015;47,551734258;7,591713667;Grau;Mini;112;Cooper;MÑnnlich;0;2;2;VorstÑdte
119;1;Benzin;2015;47,551734258;7,591713667;Grau;Opel;128;Corsa;MÑnnlich;0;2;2;VorstÑdte
160;1;Benzin;2015;47,551734258;7,591713667;Grau;Opel;128;Zafira;MÑnnlich;0;2;2;VorstÑdte
123;1;Benzin;2015;47,551734258;7,591713667;Grau;Porsche;113;911;MÑnnlich;0;2;2;VorstÑdte
179;1;Benzin;2015;47,551734258;7,591713667;Grau;Saab;32;9;MÑnnlich;0;2;2;VorstÑdte
313;1;Benzin;2015;47,551734258;7,591713667;Grau;VW;90;Golf;MÑnnlich;0;2;2;VorstÑdte
135;1;Benzin;2015;47,551734258;7,591713667;Grau;VW;90;Polo;MÑnnlich;0;2;2;VorstÑdte
115;1;Benzin;2015;47,555336607;7,578560114;Grau;Alfa Romeo;147;147;MÑnnlich;0;3;3;Am Ring
252;1;Benzin;2015;47,555336607;7,578560114;Grau;Audi;1;A4;Weiblich;0;3;3;Am Ring
143;1;Benzin;2015;47,555336607;7,578560114;Grau;Fiat;125;Punto;MÑnnlich;0;3;3;Am Ring
121;1;Benzin;2015;47,555336607;7,578560114;Grau;Ford;165;Focus;Weiblich;0;3;3;Am Ring
169;1;Benzin;2015;47,555336607;7,578560114;Grau;Honda;7;Jazz;Weiblich;0;3;3;Am Ring
126;1;Benzin;2015;47,555336607;7,578560114;Grau;Mazda;122;3;Weiblich;0;3;3;Am Ring
216;1;Benzin;2015;47,555336607;7,578560114;Grau;Mercedes-Benz;5;A;Weiblich;0;3;3;Am Ring
117;1;Benzin;2015;47,555336607;7,578560114;Grau;Mercedes-Benz;5;B;MÑnnlich;0;3;3;Am Ring
201;1;Benzin;2015;47,555336607;7,578560114;Grau;Mercedes-Benz;5;C;Weiblich;0;3;3;Am Ring
173;1;Benzin;2015;47,555336607;7,578560114;Grau;Mercedes-Benz;5;E;MÑnnlich;0;3;3;Am Ring
136;1;Benzin;2015;47,555336607;7,578560114;Grau;Opel;128;Agila;MÑnnlich;0;3;3;Am Ring
226;1;Benzin;2015;47,555336607;7,578560114;Grau;Opel;128;Astra;Weiblich;0;3;3;Am Ring
109;1;Benzin;2015;47,555336607;7,578560114;Grau;Opel;128;Corsa;Weiblich;0;3;3;Am Ring
111;1;Benzin;2015;47,555336607;7,578560114;Grau;Opel;128;Meriva;Weiblich;0;3;3;Am Ring
185;1;Benzin;2015;47,555336607;7,578560114;Grau;Opel;128;Zafira;MÑnnlich;0;3;3;Am Ring
109;1;Benzin;2015;47,555336607;7,578560114;Grau;Peugeot;170;206;Weiblich;0;3;3;Am Ring
248;1;Benzin;2015;47,555336607;7,578560114;Grau;Renault;42;Clio;Weiblich;0;3;3;Am Ring
105;1;Benzin;2015;47,555336607;7,578560114;Grau;Saab;32;9;MÑnnlich;0;3;3;Am Ring
101;1;Benzin;2015;47,555336607;7,578560114;Grau;Smart;104;Fortwo;Weiblich;0;3;3;Am Ring
165;1;Benzin;2015;47,555336607;7,578560114;Grau;Toyota;117;Corolla;Weiblich;0;3;3;Am Ring
216;1;Benzin;2015;47,555336607;7,578560114;Grau;Toyota;117;Yaris;MÑnnlich;0;3;3;Am Ring
407;1;Benzin;2015;47,555336607;7,578560114;Grau;VW;90;Golf;Weiblich;0;3;3;Am Ring
199;1;Benzin;2015;47,555336607;7,578560114;Grau;VW;90;Passat;MÑnnlich;0;3;3;Am Ring
174;1;Benzin;2015;47,555336607;7,578560114;Grau;VW;90;Polo;Weiblich;0;3;3;Am Ring
242;1;Benzin;2015;47,552034765;7,619726658;Grau;Audi;1;A3;MÑnnlich;0;4;4;Breite
218;1;Benzin;2015;47,552034765;7,619726658;Grau;Audi;1;A4;MÑnnlich;0;4;4;Breite
113;1;Benzin;2015;47,552034765;7,619726658;Grau;BMW;81;320i;MÑnnlich;0;4;4;Breite
201;1;Benzin;2015;47,552034765;7,619726658;Grau;Fiat;125;Punto;MÑnnlich;0;4;4;Breite
119;1;Benzin;2015;47,552034765;7,619726658;Grau;Ford;165;Focus;Weiblich;0;4;4;Breite
182;1;Benzin;2015;47,552034765;7,619726658;Grau;Honda;7;Jazz;Weiblich;0;4;4;Breite
134;1;Benzin;2015;47,552034765;7,619726658;Grau;Mazda;122;3;Weiblich;0;4;4;Breite
282;1;Benzin;2015;47,552034765;7,619726658;Grau;Mercedes-Benz;5;A;MÑnnlich;0;4;4;Breite
235;1;Benzin;2015;47,552034765;7,619726658;Grau;Mercedes-Benz;5;C;MÑnnlich;0;4;4;Breite
133;1;Benzin;2015;47,552034765;7,619726658;Grau;Mercedes-Benz;5;E;Weiblich;0;4;4;Breite
293;1;Benzin;2015;47,552034765;7,619726658;Grau;Opel;128;Astra;Weiblich;0;4;4;Breite
191;1;Benzin;2015;47,552034765;7,619726658;Grau;Opel;128;Corsa;Weiblich;0;4;4;Breite
160;1;Benzin;2015;47,552034765;7,619726658;Grau;Opel;128;Vectra;MÑnnlich;0;4;4;Breite
160;1;Benzin;2015;47,552034765;7,619726658;Grau;Opel;128;Zafira;Weiblich;0;4;4;Breite
238;1;Benzin;2015;47,552034765;7,619726658;Grau;Peugeot;170;206;Weiblich;0;4;4;Breite
139;1;Benzin;2015;47,552034765;7,619726658;Grau;Peugeot;170;307;Weiblich;0;4;4;Breite
233;1;Benzin;2015;47,552034765;7,619726658;Grau;Renault;42;Clio;Weiblich;0;4;4;Breite
111;1;Benzin;2015;47,552034765;7,619726658;Grau;Renault;42;MÇgane;Weiblich;0;4;4;Breite
135;1;Benzin;2015;47,552034765;7,619726658;Grau;Smart;104;Fortwo;Weiblich;0;4;4;Breite
130;1;Benzin;2015;47,552034765;7,619726658;Grau;Toyota;117;Corolla;MÑnnlich;0;4;4;Breite
186;1;Benzin;2015;47,552034765;7,619726658;Grau;Toyota;117;Yaris;Weiblich;0;4;4;Breite
372;1;Benzin;2015;47,552034765;7,619726658;Grau;VW;90;Golf;Weiblich;0;4;4;Breite
160;1;Benzin;2015;47,552034765;7,619726658;Grau;VW;90;Polo;Weiblich;0;4;4;Breite
